TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
126027000,53162522,127073000,354163600,36997700,90044000,20403200,11946400,14959100,30465600
140007000,65845885,248809000,275696400,41682300,49336000,29336800,24035200,16171500,34497400
107709000,51524405,95033000,274890000,40264600,66620000,20613600,13233600,15115800,33328700
196806000,45722740,80371000,244627600,28060700,38768000,41026400,11089200,12725000,28617000
337006500,47433127,76835000,265213200,51681900,40142000,42236800,11058000,11161500,46343600
466075500,36652871,67889000,223375600,88948800,45646000,19804400,8878800,25184600,48257800
334270500,67435822,97128000,262620400,60437400,84926000,55307600,10832400,17101200,35502900
337168500,51825529,70731000,279316800,36737800,53138000,73453200,11462400,14028300,30884100
209964000,44670812,80910000,227452400,26872500,45234000,29762400,8385200,11415100,22694900
224778000,48906630,68196000,204276800,31651600,46862000,31603200,9016400,16145000,38031100
189874500,63412799,79245000,197220800,44957600,55466000,33279200,8181600,14815800,75234900
183055500,46842923,75117000,282419200,46183700,83196000,30798000,10909600,25790900,243255400
148503000,51243355,42453000,317920400,50601300,89832000,45033200,12391600,21477700,85506000
347073000,70651832,85910000,244944000,53277500,54748000,31694800,16380800,15093200,66008900
297243000,45433661,75602000,208938800,44275000,38096000,20671600,14462800,14532900,57309700
207744000,38692487,53933000,193916800,32229900,35430000,20477600,10197200,12165500,44299700
178557000,43835693,34886000,262026800,23064700,39292000,21356800,12776400,11773000,40695500
166450500,50356042,40545000,223725600,27982000,59310000,15866800,8150800,13826300,41105000
154009500,64761837,82565000,229311600,30646800,59446000,24820800,6742000,14753800,37566000
208282500,91794785,82016000,401382800,34465300,54488000,75317600,11246000,28403700,48629300
185514000,45112461,44993000,363448400,26002100,45394000,18127200,5939600,16120200,40021100
145743000,47890836,22953900,318127600,22090400,48120000,11696400,4139200,11851500,25043700
116268000,55133884,50774000,472544800,42950400,94280000,37387200,8762000,20284400,35385200
385236000,67295297,32086000,450968000,52109800,74058000,29056000,17032800,16545300,52496700
197215500,47842656,60890000,377809600,51983600,47106000,49317600,11739200,20004000,44535000
139326000,45517975,43855000,447580000,116305000,38130000,27181200,13260000,20839500,61782100
118644000,57366220,42938000,344352400,36457300,39694000,28100000,9106800,15995300,51266300
135922500,59526286,36056000,320493600,30286000,55236000,38522000,12667200,16795000,41430000
161223000,74433955,68479000,278269600,37828600,54736000,52426800,15647200,25491700,45957600
107067000,68728650,65776000,359718800,39853400,49026000,41415600,40328000,17184000,66075000
161517000,64099363,92723000,262290000,36012800,42474000,25872400,11469200,30946000,69575100
158878500,86820208,82641000,332822000,40066100,60500000,18458800,17674400,18221200,51883000
100129500,64320188,85119000,282592800,31734200,45034000,23762000,14779600,22756300,54485600
157425000,61658247,78751000,229902400,45687700,46878000,27410400,20647200,21782100,45343300
173728500,88743390,76003000,565863200,63192100,69782000,42623200,16142000,40179900,55495300
191100000,66877738,89753200,320308800,34160100,48544000,25854400,13394800,62855300,36678100
111189000,130953011,239824000,436413600,62649100,100678000,38208000,23263600,40783000,64140500
80782500,69122119,98297000,501306400,25128700,53190000,16856800,7994800,18002800,41245900
149122500,29478078,46617800,167554800,14243000,27608000,7960000,5207600,9670100,18372000
106942500,53712576,55101000,204008000,17612800,37370000,16892000,4898800,11516900,17064400
81903000,63023345,60466000,225884400,14563000,39738000,21097600,5242000,15373100,24098500
67012500,49629328,68307000,253629600,16290500,49742000,24818000,5940000,11683000,27711600
63936000,54519590,43076200,223084400,17503500,39930000,23577600,6448400,11746400,33240500
92826000,73129082,43195500,234684800,30632200,42756000,26009200,10654000,18162100,44377000
70425000,66917888,38246200,392467600,31134800,44204000,25933200,7809600,11693900,36328200
80416500,71037271,68852600,412610800,43603700,63412000,40949200,8577600,15329400,34150300
75511500,102486711,77207400,317209200,35802800,38320000,33328800,8178000,16792200,37368800
92448000,90036218,56682400,258529600,59971700,46330000,30819200,8487200,16111600,38362700
80730000,83692529,92253300,279148800,36516300,42060000,29217200,8386400,13623500,31794000
111691500,86061375,42449500,304976000,40548800,53590000,21849200,6429600,15402900,30318600
94741500,97118665,63010900,378492800,45901900,56898000,24333200,13554400,20848300,59600000
414105000,99676216,37503600,332561600,41623300,46802000,24182800,10851600,13486400,44300800
306984000,78300393,33663400,391638800,44812600,53566000,17504400,11288000,17010900,61767800
179391000,67608467,34541800,229278000,38018700,52024000,22065200,13514000,13463000,38918100
138093000,108457005,40849200,426739600,46267500,90102000,34040000,38344400,14051100,44349100
146020500,79492846,48669200,328526800,31567300,62442000,24607600,19752400,13540000,33423000
105339000,63091600,61352900,379985200,21904300,41210000,33794000,7254400,14006300,30700100
118011000,78256228,47951800,403239200,43954000,60508000,18502800,13662400,14174200,37013600
114964500,156283602,55200700,429354800,76395500,89168000,24669600,16043200,26815600,40917300
130746000,174796734,73924100,554878800,44420800,78736000,23381200,19470800,19073800,60510000
